name,score
Doctor Strange,89
The Batman,85
X,96
Dune,83
The Power of the Dog,93
Fresh,81
Along for the Ride,57
The Takedown,40
The Adam Project,68
The Innocents,95
Pleasure,88
The Twin,50
Uncharted,40
The Bad Guys,87
Ambulance,68
The Lost City,78
